ORDEN,NOMBRE_BAREMO,DOMINIO,TABLA_OBJETIVO,CAMPO_OBJETIVO,REGLA,CAMPO_EVAL,VALOR_ORIGEN,VALOR_DESTINO,DESCRIPCION_VALOR,PROCESOS
126,rep_dolares_cambios390_ciudad_poblacion_usr_ext,,tmp_upld.tmp_rep_dol_preparacion_datos,ciudad_poblacion_usr_ext,Calculado,,,'',,RDDOL57@RDDOL38@RDDOL30
127,rep_dolares_cambios390_codigo_postal_usr_ext,,tmp_upld.tmp_rep_dol_preparacion_datos,codigo_postal_usr_ext,Calculado,,,'',,RDDOL57@RDDOL38@RDDOL30
128,rep_dolares_cambios390_clave_pais_usr,,tmp_upld.tmp_rep_dol_preparacion_datos,clave_pais_usr,Calculado,,,'',,RDDOL57@RDDOL38@RDDOL30
129,rep_dolares_cambios390_telefono_usr,,tmp_upld.tmp_rep_dol_preparacion_datos,telefono_usr,Calculado,,,'',,RDDOL57@RDDOL38@RDDOL30
130,rep_dolares_cambios390_extension_usr,,tmp_upld.tmp_rep_dol_preparacion_datos,extension_usr,Calculado,,,'',,RDDOL57@RDDOL38@RDDOL30
131,rep_dolares_cambios390_tipo_identificacion_usr,,tmp_upld.tmp_rep_dol_preparacion_datos,tipo_identificacion_usr,Calculado,,,'2',,RDDOL57@RDDOL30
132,rep_dolares_cambios390_numero_identificacion_usr,,tmp_upld.tmp_rep_dol_preparacion_datos,numero_identificacion_usr,Calculado,,,'495231738',,RDDOL57@RDDOL30
133,rep_dolares_cambios390_correo_electronico_usr,,tmp_upld.tmp_rep_dol_preparacion_datos,correo_electronico_usr,Calculado,,,'',,RDDOL57@RDDOL38@RDDOL30
134,rep_dolares_cambios390_fiel_usr,,tmp_upld.tmp_rep_dol_preparacion_datos,fiel_usr,Calculado,,,'',,RDDOL57@RDDOL38@RDDOL30
135,rep_dolares_cambios390_nombre_clte_f,,tmp_upld.tmp_rep_dol_preparacion_datos,nombre_clte_f,Calculado,,,CASE WHEN tipo_persona = 'F' THEN nombre_clte ELSE '' END,,RDDOL57@RDDOL30
136,rep_dolares_cambios390_apellido_paterno_clte_f,,tmp_upld.tmp_rep_dol_preparacion_datos,apellido_paterno_clte_f,Calculado,,,CASE WHEN tipo_persona = 'F' THEN apellido_paterno_clte ELSE '' END,,RDDOL57@RDDOL30
137,rep_dolares_cambios390_apellido_materno_clte_f,,tmp_upld.tmp_rep_dol_preparacion_datos,apellido_materno_clte_f,Calculado,,,CASE WHEN tipo_persona = 'F' THEN apellido_materno_clte ELSE '' END,,RDDOL57@RDDOL30
138,rep_dolares_cambios390_fecha_nacimiento_clte_f,,tmp_upld.tmp_rep_dol_preparacion_datos,fecha_nacimiento_clte_f,Calculado,,,"CASE WHEN tipo_persona = 'F' THEN coalesce(fecha_nacimiento_clte,'') ELSE '' END",,RDDOL57
139,rep_dolares_cambios390_curp_clte_f,,tmp_upld.tmp_rep_dol_preparacion_datos,curp_clte_f,Calculado,,,"CASE WHEN tipo_persona = 'F' THEN CASE WHEN fecha_nacimiento_clte IS NOT NULL THEN CASE WHEN curp IS NOT NULL AND rfc IS NOT NULL THEN IF(SUBSTR(fecha_nacimiento_clte, 3, 6) != SUBSTR(curp, 5, 6) AND SUBSTR(fecha_nacimiento_clte, 3, 6) = SUBSTR(rfc, 5, 6), '', curp) ELSE curp END ELSE curp END ELSE '' END",,RDDOL57
140,rep_dolares_cambios390_rfc_clte_f,,tmp_upld.tmp_rep_dol_preparacion_datos,rfc_clte_f,Calculado,,,"CASE WHEN tipo_persona = 'F' THEN CASE WHEN fecha_nacimiento_clte IS NOT NULL THEN CASE WHEN rfc IS NOT NULL AND curp IS NOT NULL THEN IF(SUBSTR(fecha_nacimiento_clte, 3, 6) != SUBSTR(rfc, 5, 6) AND SUBSTR(fecha_nacimiento_clte, 3, 6) = SUBSTR(curp, 5, 6), '', rfc) ELSE rfc END ELSE rfc END ELSE '' END",,RDDOL57
141,rep_dolares_cambios390_pais_nacimiento_clte_f,,tmp_upld.tmp_rep_dol_preparacion_datos,pais_nacimiento_clte_f,Calculado,,,CASE WHEN tipo_persona = 'F' THEN pais_nacimiento ELSE '' END,,RDDOL57@RDDOL30
142,rep_dolares_cambios390_pais_nacionalidad_clte_f,,tmp_upld.tmp_rep_dol_preparacion_datos,pais_nacionalidad_clte_f,Calculado,,,CASE WHEN tipo_persona = 'F' THEN pais_nacionalidad ELSE '' END,,RDDOL57@RDDOL30
143,rep_dolares_cambios390_actividad_economica_clte_f,,tmp_upld.tmp_rep_dol_preparacion_datos,actividad_economica_clte_f,Calculado,,,CASE WHEN tipo_persona = 'F' THEN actividad_economica_clte ELSE '' END,,RDDOL57@RDDOL30
144,rep_dolares_cambios390_domicilio_unificado_clte_nac_f,,tmp_upld.tmp_rep_dol_preparacion_datos,domicilio_unificado_clte_nac_f,Calculado,,,"CASE WHEN tipo_persona = 'F' and pais_dom_clte='MX' THEN concat_ws(' ', cast(nom_calle as varchar(86)), cast(num_exterior as varchar(5)), cast(coalesce(num_interior,'') as varchar(5)), cast(colonia_clte as varchar(60)), cast(ciudad_poblacion_clte as varchar(50)), cast(localidad as varchar(85)), cast(codigo_postal_clte as varchar(5)), cast(txt_desc_dir_cod_estado as varchar(2)), cast(pais_dom_clte as varchar(2))) ELSE '' END",,RDDOL57@RDDOL30
145,rep_dolares_cambios390_nom_calle_clte_nac_f,,tmp_upld.tmp_rep_dol_preparacion_datos,nom_calle_clte_nac_f,Calculado,,,'',,RDDOL57@RDDOL30
146,rep_dolares_cambios390_num_exterior_clte_nac_f,,tmp_upld.tmp_rep_dol_preparacion_datos,num_exterior_clte_nac_f,Calculado,,,'',,RDDOL57@RDDOL30
147,rep_dolares_cambios390_num_interior_clte_nac_f,,tmp_upld.tmp_rep_dol_preparacion_datos,num_interior_clte_nac_f,Calculado,,,'',,RDDOL57@RDDOL30
148,rep_dolares_cambios390_ciudad_poblacion_clte_nac_f,,tmp_upld.tmp_rep_dol_preparacion_datos,ciudad_poblacion_clte_nac_f,Calculado,,,CASE WHEN tipo_persona = 'F' and pais_dom_clte='MX' THEN localidad ELSE '' END,,RDDOL57@RDDOL30
149,rep_dolares_cambios390_colonia_clte_nac_f,,tmp_upld.tmp_rep_dol_preparacion_datos,colonia_clte_nac_f,Calculado,,,CASE WHEN tipo_persona = 'F' and pais_dom_clte='MX' THEN colonia_clte ELSE '' END,,RDDOL57@RDDOL30
150,rep_dolares_cambios390_codigo_postal_clte_nac_f,,tmp_upld.tmp_rep_dol_preparacion_datos,codigo_postal_clte_nac_f,Calculado,,,'',,RDDOL57@RDDOL30
151,rep_dolares_cambios390_cod_estado_clte_nac_f,,tmp_upld.tmp_rep_dol_preparacion_datos,cod_estado_clte_nac_f,Calculado,,,'',,RDDOL57@RDDOL30
152,rep_dolares_cambios390_entidad_federativa_clte_nac_f,,tmp_upld.tmp_rep_dol_preparacion_datos,entidad_federativa_clte_nac_f,Calculado,,,'',,RDDOL57@RDDOL30
153,rep_dolares_cambios390_delegacion_municipio_clte_nac_f,,tmp_upld.tmp_rep_dol_preparacion_datos,delegacion_municipio_clte_nac_f,Calculado,,,'',,RDDOL57@RDDOL30
154,rep_dolares_cambios390_pais_f,,tmp_upld.tmp_rep_dol_preparacion_datos,pais_f,Calculado,,,CASE WHEN tipo_persona = 'F' and pais_dom_clte!='MX' THEN pais_dom_clte ELSE '' END,,RDDOL57@RDDOL30
155,rep_dolares_cambios390_domicilio_unificado_clte_ext_f,,tmp_upld.tmp_rep_dol_preparacion_datos,domicilio_unificado_clte_ext_f,Calculado,,,"CASE WHEN tipo_persona = 'F' and pais_dom_clte!='MX' THEN concat_ws(' ', cast(nom_calle as varchar(86)), cast(num_exterior as varchar(5)), cast(coalesce(num_interior,'') as varchar(5)), cast(colonia_clte as varchar(60)), cast(ciudad_poblacion_clte as varchar(50)), cast(localidad as varchar(85)), cast(codigo_postal_clte as varchar(5)), cast(txt_desc_dir_cod_estado as varchar(2)), cast(pais_dom_clte as varchar(2))) ELSE '' END",,RDDOL57@RDDOL30
156,rep_dolares_cambios390_nom_calle_clte_ext_f,,tmp_upld.tmp_rep_dol_preparacion_datos,nom_calle_clte_ext_f,Calculado,,,'',,RDDOL57@RDDOL30
157,rep_dolares_cambios390_num_exterior_clte_ext_f,,tmp_upld.tmp_rep_dol_preparacion_datos,num_exterior_clte_ext_f,Calculado,,,'',,RDDOL57@RDDOL30
158,rep_dolares_cambios390_num_interior_clte_ext_f,,tmp_upld.tmp_rep_dol_preparacion_datos,num_interior_clte_ext_f,Calculado,,,'',,RDDOL57@RDDOL30
159,rep_dolares_cambios390_ciudad_poblacion_clte_ext_f,,tmp_upld.tmp_rep_dol_preparacion_datos,ciudad_poblacion_clte_ext_f,Calculado,,,CASE WHEN tipo_persona = 'F' and pais_dom_clte!='MX' THEN localidad ELSE '' END,,RDDOL57@RDDOL30
160,rep_dolares_cambios390_colonia_clte_ext_f,,tmp_upld.tmp_rep_dol_preparacion_datos,colonia_clte_ext_f,Calculado,,,CASE WHEN tipo_persona = 'F' and pais_dom_clte!='MX' THEN colonia_clte ELSE '' END,,RDDOL57@RDDOL30
161,rep_dolares_cambios390_codigo_postal_clte_ext_f,,tmp_upld.tmp_rep_dol_preparacion_datos,codigo_postal_clte_ext_f,Calculado,,,'',,RDDOL57@RDDOL30
162,rep_dolares_cambios390_cod_estado_clte_ext_f,,tmp_upld.tmp_rep_dol_preparacion_datos,cod_estado_clte_ext_f,Calculado,,,'',,RDDOL57@RDDOL30
163,rep_dolares_cambios390_estado_provincia_clte_ext_f,,tmp_upld.tmp_rep_dol_preparacion_datos,estado_provincia_clte_ext_f,Calculado,,,'',,RDDOL57@RDDOL30
164,rep_dolares_cambios390_clave_pais_f,,tmp_upld.tmp_rep_dol_preparacion_datos,clave_pais_f,Calculado,,,'',,RDDOL57@RDDOL30
165,rep_dolares_cambios390_telefono_clte_f,,tmp_upld.tmp_rep_dol_preparacion_datos,telefono_clte_f,Calculado,,,"CASE WHEN tipo_persona = 'F' THEN substr(concat_ws('', cast(trim(num_tlf_prefijo) as varchar(2)), cast(trim(num_telefono) as varchar(10))), -12) ELSE '' END",,RDDOL57@RDDOL30
166,rep_dolares_cambios390_num_tlf_extension_clte_f,,tmp_upld.tmp_rep_dol_preparacion_datos,num_tlf_extension_clte_f,Calculado,,,CASE WHEN tipo_persona = 'F' THEN num_tlf_extension ELSE '' END,,RDDOL57@RDDOL30
167,rep_dolares_cambios390_correo_electronico_clte_f,,tmp_upld.tmp_rep_dol_preparacion_datos,correo_electronico_clte_f,Calculado,,,'',,RDDOL57@RDDOL30
168,rep_dolares_cambios390_fiel_clte_f,,tmp_upld.tmp_rep_dol_preparacion_datos,fiel_clte_f,Calculado,,,'',,RDDOL57@RDDOL30
169,rep_dolares_cambios390_denominacion_razon_m,,tmp_upld.tmp_rep_dol_preparacion_datos_captacion@tmp_upld.tmp_rep_dol_preparacion_datos_camb,denominacion_razon_m,Calculado,,,"CASE WHEN tipo_persona = 'J' THEN SUBSTR(CONCAT_WS(' ', TRIM(nombre_clte), TRIM(apellido_paterno_clte), TRIM(apellido_materno_clte)), 1, 90) ELSE '' END",,RDDOL30@RDDOL57
170,rep_dolares_cambios390_fecha_constitucion_m,,tmp_upld.tmp_rep_dol_preparacion_datos,fecha_constitucion_m,Calculado,,,"CASE WHEN tipo_persona = 'J' THEN coalesce(fecha_nacimiento_clte,'') ELSE '' END",,RDDOL57
171,rep_dolares_cambios390_rfc_m,,tmp_upld.tmp_rep_dol_preparacion_datos,rfc_m,Calculado,,,"CASE WHEN tipo_persona = 'J' THEN coalesce(rfc,'') ELSE '' END",,RDDOL57
172,rep_dolares_cambios390_pais_nacionalidad_m,,tmp_upld.tmp_rep_dol_preparacion_datos,pais_nacionalidad_m,Calculado,,,CASE WHEN tipo_persona = 'J' THEN pais_nacionalidad ELSE '' END,,RDDOL57@RDDOL30
173,rep_dolares_cambios390_giro_mercantil_m,,tmp_upld.tmp_rep_dol_preparacion_datos,giro_mercantil_m,Calculado,,,CASE WHEN tipo_persona = 'J' THEN actividad_economica_clte ELSE '' END,,RDDOL57@RDDOL30
174,rep_dolares_cambios390_domicilio_unificado_clte_nac_m,,tmp_upld.tmp_rep_dol_preparacion_datos,domicilio_unificado_clte_nac_m,Calculado,,,"CASE WHEN tipo_persona = 'J' and pais_dom_clte='MX' THEN concat_ws(' ', cast(nom_calle as varchar(86)), cast(num_exterior as varchar(5)), cast(coalesce(num_interior,'') as varchar(5)), cast(colonia_clte as varchar(60)), cast(ciudad_poblacion_clte as varchar(50)), cast(localidad as varchar(85)), cast(codigo_postal_clte as varchar(5)), cast(txt_desc_dir_cod_estado as varchar(2)), cast(pais_dom_clte as varchar(2))) ELSE '' END",,RDDOL57@RDDOL30
175,rep_dolares_cambios390_nom_calle_clte_nac_m,,tmp_upld.tmp_rep_dol_preparacion_datos,nom_calle_clte_nac_m,Calculado,,,'',,RDDOL57@RDDOL30
176,rep_dolares_cambios390_num_exterior_clte_nac_m,,tmp_upld.tmp_rep_dol_preparacion_datos,num_exterior_clte_nac_m,Calculado,,,'',,RDDOL57@RDDOL30
177,rep_dolares_cambios390_num_interior_clte_nac_m,,tmp_upld.tmp_rep_dol_preparacion_datos,num_interior_clte_nac_m,Calculado,,,'',,RDDOL57@RDDOL30
178,rep_dolares_cambios390_codigo_postal_clte_nac_m,,tmp_upld.tmp_rep_dol_preparacion_datos,codigo_postal_clte_nac_m,Calculado,,,'',,RDDOL57@RDDOL30
179,rep_dolares_cambios390_cod_estado_clte_nac_m,,tmp_upld.tmp_rep_dol_preparacion_datos,cod_estado_clte_nac_m,Calculado,,,'',,RDDOL57@RDDOL30
180,rep_dolares_cambios390_ciudad_poblacion_clte_nac_m,,tmp_upld.tmp_rep_dol_preparacion_datos,ciudad_poblacion_clte_nac_m,Calculado,,,CASE WHEN tipo_persona = 'J' and pais_dom_clte='MX' THEN localidad ELSE '' END,,RDDOL57@RDDOL30
181,rep_dolares_cambios390_colonia_clte_nac_m,,tmp_upld.tmp_rep_dol_preparacion_datos,colonia_clte_nac_m,Calculado,,,CASE WHEN tipo_persona = 'J' and pais_dom_clte='MX' THEN colonia_clte ELSE '' END,,RDDOL57@RDDOL30
182,rep_dolares_cambios390_entidad_federativa_ext_m,,tmp_upld.tmp_rep_dol_preparacion_datos,entidad_federativa_ext_m,Calculado,,,'',,RDDOL57@RDDOL30
183,rep_dolares_cambios390_delegacion_municipio_clte_nac_m,,tmp_upld.tmp_rep_dol_preparacion_datos,delegacion_municipio_clte_nac_m,Calculado,,,'',,RDDOL57@RDDOL30
184,rep_dolares_cambios390_pais_m,,tmp_upld.tmp_rep_dol_preparacion_datos,pais_m,Calculado,,,CASE WHEN tipo_persona = 'J' and pais_dom_clte!='MX' THEN pais_dom_clte ELSE '' END,,RDDOL57@RDDOL30
185,rep_dolares_cambios390_domicilio_unificado_clte_ext_m,,tmp_upld.tmp_rep_dol_preparacion_datos,domicilio_unificado_clte_ext_m,Calculado,,,"CASE WHEN tipo_persona = 'J' and pais_dom_clte!='MX' THEN concat_ws(' ', cast(nom_calle as varchar(86)), cast(num_exterior as varchar(5)), cast(coalesce(num_interior,'') as varchar(5)), cast(colonia_clte as varchar(60)), cast(ciudad_poblacion_clte as varchar(50)), cast(localidad as varchar(85)), cast(codigo_postal_clte as varchar(5)), cast(txt_desc_dir_cod_estado as varchar(2)), cast(pais_dom_clte as varchar(2))) ELSE '' END",,RDDOL57@RDDOL30
186,rep_dolares_cambios390_nom_calle_clte_ext_m,,tmp_upld.tmp_rep_dol_preparacion_datos,nom_calle_clte_ext_m,Calculado,,,'',,RDDOL57@RDDOL30
187,rep_dolares_cambios390_num_exterior_clte_ext_m,,tmp_upld.tmp_rep_dol_preparacion_datos,num_exterior_clte_ext_m,Calculado,,,'',,RDDOL57@RDDOL30
188,rep_dolares_cambios390_num_interior_clte_ext_m,,tmp_upld.tmp_rep_dol_preparacion_datos,num_interior_clte_ext_m,Calculado,,,'',,RDDOL57@RDDOL30
189,rep_dolares_cambios390_codigo_postal_clte_ext_m,,tmp_upld.tmp_rep_dol_preparacion_datos,codigo_postal_clte_ext_m,Calculado,,,'',,RDDOL57@RDDOL30
190,rep_dolares_cambios390_cod_estado_clte_ext_m,,tmp_upld.tmp_rep_dol_preparacion_datos,cod_estado_clte_ext_m,Calculado,,,'',,RDDOL57@RDDOL30
191,rep_dolares_cambios390_ciudad_poblacion_clte_ext_m,,tmp_upld.tmp_rep_dol_preparacion_datos,ciudad_poblacion_clte_ext_m,Calculado,,,CASE WHEN tipo_persona = 'J' and pais_dom_clte!='MX' THEN localidad ELSE '' END,,RDDOL57@RDDOL30
192,rep_dolares_cambios390_colonia_clte_ext_m,,tmp_upld.tmp_rep_dol_preparacion_datos,colonia_clte_ext_m,Calculado,,,CASE WHEN tipo_persona = 'J' and pais_dom_clte!='MX' THEN colonia_clte ELSE '' END,,RDDOL57@RDDOL30
193,rep_dolares_cambios390_estado_provincia_ext_m,,tmp_upld.tmp_rep_dol_preparacion_datos,estado_provincia_ext_m,Calculado,,,'',,RDDOL57@RDDOL30
194,rep_dolares_cambios390_clave_pais_m,,tmp_upld.tmp_rep_dol_preparacion_datos,clave_pais_m,Calculado,,,'',,RDDOL57@RDDOL30
195,rep_dolares_cambios390_telefono_clte_m,,tmp_upld.tmp_rep_dol_preparacion_datos,telefono_clte_m,Calculado,,,"CASE WHEN tipo_persona = 'J' THEN substr(concat_ws('', cast(trim(num_tlf_prefijo) as varchar(2)), cast(trim(num_telefono) as varchar(10))), -12) ELSE '' END",,RDDOL57@RDDOL30
196,rep_dolares_cambios390_extension_clte_m,,tmp_upld.tmp_rep_dol_preparacion_datos,extension_clte_m,Calculado,,,CASE WHEN tipo_persona = 'J' THEN num_tlf_extension ELSE '' END,,RDDOL57@RDDOL30
197,rep_dolares_cambios390_correo_electronico_clte_m,,tmp_upld.tmp_rep_dol_preparacion_datos,correo_electronico_clte_m,Calculado,,,'',,RDDOL57@RDDOL30
198,rep_dolares_cambios390_fiel_clte_m,,tmp_upld.tmp_rep_dol_preparacion_datos,fiel_clte_m,Calculado,,,'',,RDDOL57@RDDOL30
199,rep_dolares_cambios390_apoderado_clte,,tmp_upld.tmp_rep_dol_preparacion_datos,apoderado_clte,Calculado,,,"CASE WHEN tipo_persona = 'J' and coalesce(cod_per_aporedado,nombre_apode) IS NOT NULL THEN concat_ws(' ', cast(trim(nombre_apode) as varchar(80)), cast(trim(apellido_paterno_apode) as varchar(80)), cast(trim(apellido_materno_apode) as varchar(80))) ELSE '' END",,RDDOL56@RDDOL29
200,prior_apode_captacion,,tmp_upld.tmp_rep_dol_cambios_prior_apode1@tmp_upld.tmp_rep_dol_captacion_prior_apode1,prior_apode,Calculado,,,"IF(num_calid_part='RL', 1, IF(num_calid_part='PO', 2, IF  (num_calid_part='TR', 3, IF(num_calid_part='AU', 4, IF(num_calid_part='RP', 5, IF(num_calid_part='CT', 6, 7))))))",,RDDOL47@RDDOL09
201,Tipo_operacion_corresponsales,,tmp_upld.tmp_rep_dol_corresponsales_mae_trans,cod_tipo_oper,Clacon,Cadena,IN,1,,RDDOL32
202,Divisa_minima_corresponsal,,tmp_upld.tmp_rep_dol_corresponsales_mae_trans,imp_oper_mo,Clacon,Numero,>=,250,,RDDOL32
203,apellido_materno_usr_corresponsales,,tmp_upld.tmp_rep_dol_flags_datos_corres,apellido_materno_usr,Calculado,,,"CASE WHEN trim(UPPER(apellido_materno_usr)) IN ('X','XX','XXX','.','') or apellido_materno_usr IS NULL or UPPER(apellido_materno_usr) LIKE '%XXXX%' THEN 'XXXX' ELSE apellido_materno_usr END",,RDDOL37
204,apellido_paterno_usr,,tmp_upld.tmp_rep_dol_flags_datos_corres,apellido_paterno_usr,Calculado,,,"CASE WHEN trim(UPPER(apellido_paterno_usr)) IN ('X','XX','XXX','.','') or apellido_paterno_usr IS NULL or UPPER(apellido_paterno_usr) LIKE '%XXXX%' THEN 'XXXX' ELSE apellido_paterno_usr END",,RDDOL37
205,num_calid_part_nvl_apode,,tmp_rep_dol_cambios_prior_apode1,num_calid_part,Clacon,Cadena,IN,RL,,RDDOL47@RDDOL09
206,num_calid_part_nvl_apode,,tmp_rep_dol_cambios_prior_apode1,num_calid_part,Clacon,Cadena,IN,PO,,RDDOL47@RDDOL09
207,num_calid_part_nvl_apode,,tmp_rep_dol_cambios_prior_apode1,num_calid_part,Clacon,Cadena,IN,TR,,RDDOL47@RDDOL09
208,num_calid_part_nvl_apode,,tmp_rep_dol_cambios_prior_apode1,num_calid_part,Clacon,Cadena,IN,AU,,RDDOL47@RDDOL09
209,num_calid_part_nvl_apode,,tmp_rep_dol_cambios_prior_apode1,num_calid_part,Clacon,Cadena,IN,RP,,RDDOL47@RDDOL09
210,num_calid_part_nvl_apode,,tmp_rep_dol_cambios_prior_apode1,num_calid_part,Clacon,Cadena,IN,CT,,RDDOL47@RDDOL09
211,cuenta_contrato_aux_corres,,tmp_upld.tmp_rep_dol_preparacion_datos_corres,cuenta_contrato_aux,Calculado,,,'',,RDDOL38
212,flag_apodaux_vacio,,tmp_upld.tmp_rep_dol_preparacion_datos_corres,flag_apodaux,Calculado,,,'',,RDDOL38
213,flag_num_cta_vacio,,tmp_upld.tmp_rep_dol_preparacion_datos_corres,flag_num_cta,Calculado,,,'',,RDDOL38@RDDOL30
